id,pr_number,user,created_at,body,deberta_sentiment_label,deberta_confidence
1305967069,737,Marukesu,2023-08-25T17:46:29Z,this will break having the first window be created by the action when we enable dbus activation (the only thing that was stopping us of doing that was the duplicate tab). so the `active_window == null` is necessary here.,0,0.9898903369903564
1305967517,737,Marukesu,2023-08-25T17:46:50Z,"please, keep the separate callback, it makes easier to breakpoint it during debug after.",0,0.9928170442581177
1305967789,737,Marukesu,2023-08-25T17:47:07Z,"no need for the default value here, options.lookup() will always set a value.",0,0.9929163455963135
1305968505,737,Marukesu,2023-08-25T17:47:58Z,"this commentary doesn't make sense any more. before, launching with one of `-x`, `-e`, or with a command didn't restored tabs. but now the behaviour is to always restore if `-n` is not used too.",0,0.9221972823143005
1305969380,737,Marukesu,2023-08-25T17:49:01Z,"keep the options.lookup() inline here, it's not only getting the value of `new-window` option, but validating that it's a boolean value too.",0,0.9928592443466187
1305969715,737,Marukesu,2023-08-25T17:49:27Z,"if this is the first window, we aren't restoring. is that expected? i don't see a why `-n` won't restore the last session if it's the first window.",0,0.9863200783729553
1305970529,737,Marukesu,2023-08-25T17:50:23Z,"this cannot even happen, because we are always creating a tab above.",0,0.9755545258522034
1305971317,737,Marukesu,2023-08-25T17:51:21Z,i believe the agreement in the files pr was that we always save the last closed window state. not the first opened one.,0,0.9886511564254761
1305972264,737,Marukesu,2023-08-25T17:52:28Z,"this is in the wrong callback no? here we aren't creating a new window, so you are actually checking the restored tabs.",0,0.9863362312316895
1306379862,737,jeremypw,2023-08-26T08:41:39Z,i think is is cleaner and more predictable if `-n` always creates a fresh new window. if the user wants restored tabs then omit the `-n`.,0,0.97367924451828
1306380186,737,jeremypw,2023-08-26T08:44:45Z,it can happen if the `execute` option is used without any command.,0,0.989941418170929
1306386907,737,jeremypw,2023-08-26T09:16:56Z,"yes, i was checking something - not needed now.",0,0.9904811978340149
1306623175,737,jeremypw,2023-08-27T08:25:19Z,done,0,0.8682363629341125
1306624829,737,jeremypw,2023-08-27T08:36:11Z,that will not work. we need a value for `new_window` when `window` is `null`. if `window` is `null` and the lookup is inline then `new_window` will be undefined because of lazy evaluation of or expression.,0,0.9837627410888672
1306692410,737,Marukesu,2023-08-27T16:40:13Z,"you can use `window != null` in the restore_tabs argument, that has the same meaning of `new_window` being true.",0,0.9943901896476746
1306693248,737,Marukesu,2023-08-27T16:47:15Z,"keep in mind that `-n` will also mean a hard ""drop tabs"" when used in the first launch, because there's no way to not restore the tabs in any other case that isn't the first launch. if you fine with that behaviour, i won't oppose the change.",0,0.982300877571106
1306702544,737,jeremypw,2023-08-27T18:08:24Z,on reflection i have left restoring tabs to mainwindow and not dependent on options as it is simpler.,0,0.993133008480072
1306702964,737,jeremypw,2023-08-27T18:11:44Z,not sure what this means :disappointed: as i am not sure how dbus activation works. could you give more details or suggested code?,-1,0.9948128461837769
1306719337,737,Marukesu,2023-08-27T20:34:30Z,"as explained, working-directory isn't meant to be a real option, also assert here isn't right, as it will force quit the primary instance.",0,0.9880818128585815
1306719370,737,Marukesu,2023-08-27T20:34:50Z,this won't respect the current working directory as the others.,0,0.9763815999031067
1306719954,737,Marukesu,2023-08-27T20:40:24Z,[code block] then you can drop both the `window_number` and `is_first_window` properties.,0,0.9931967258453369
1306719963,737,Marukesu,2023-08-27T20:40:30Z,unnecessary comment.,0,0.8323933482170105
1306720003,737,Marukesu,2023-08-27T20:40:50Z,this doesn't need to be public.,0,0.9713937640190125
1306720458,737,Marukesu,2023-08-27T20:45:37Z,"it's better to keep any ""current directory"" concept exclusive to the application class. because of the local/primary instance logic.",0,0.9916519522666931
1306720568,737,Marukesu,2023-08-27T20:46:43Z,"this test was made to assert that we always create a new tab when requested, so this change is wrong.",0,0.8270595073699951
1306720582,737,Marukesu,2023-08-27T20:46:54Z,"now that we aren't creating the extra tab, this should be 4.",0,0.9889633655548096
1307271179,737,jeremypw,2023-08-28T10:50:54Z,i'll remove the assert before merge - that is for testing. so far i havent been able to trigger it so probably do not need a fallback?,0,0.9930476546287537
1307273991,737,jeremypw,2023-08-28T10:54:08Z,"whether or not it respects the current working directory depends on the ""follow-last-tab"" setting (that is what the *default* tab does) since it uses the action-new-tab. this is for consistency with other situations where there is no specified tab.",0,0.9933586716651917
1307274683,737,jeremypw,2023-08-28T10:55:00Z,that does not work. the number of windows in the app may change after construction of the window.,0,0.9695395231246948
1307276490,737,jeremypw,2023-08-28T10:57:12Z,debatable but i'll remove it.,0,0.9463216662406921
1307277214,737,jeremypw,2023-08-28T10:58:06Z,"oh yes, i was going to call it directly but opted for activate_action instead. will revert.",0,0.9896915555000305
1307278429,737,jeremypw,2023-08-28T10:59:27Z,so what do you suggest?,0,0.9910747408866882
1307279514,737,jeremypw,2023-08-28T11:00:43Z,it is necessary for the test to pass. if the original test is correct then the app is wrong,0,0.9886329770088196
1307281475,737,jeremypw,2023-08-28T11:02:49Z,hmm then it should be failing - will investigate.,0,0.9346413612365723
1307514692,737,jeremypw,2023-08-28T14:36:53Z,"so what i *think* is happening is that the test environment opens a window without restoring tabs *before* processing the option. so there is already a default tab in the window and the execute option creates 4 more, one for each command, giving a total of 5. however this does not seem to be the case for the `-t` option test so tbh i am not on what exactly happening in the test environment. if you manually execute multiple commands before any window is opened e.g. with a commandline `io.elementary.terminal -e ""true"" -e ""echo hi""` then no extra default tab appears.",0,0.9657121896743774
1307534896,737,jeremypw,2023-08-28T14:52:58Z,if you run `io.elementary.terminal -t` manually without a terminal window open you get one tab (as expected). if you run the same command with the primary window open (but no restored tabs) then you get 2 tabs - the original default one and the requested additional one. i am not exactly sure what happens in the test environment - does a window get created before the options are processed or not?,0,0.9859419465065002
