repository,file_type,id,pr_number,body,distilbert_sentiment_label,codebert_sentiment_label,deberta_sentiment_label,distilbert_confidence,codebert_confidence,deberta_confidence,majority_label,final_decision,decision_reason,manual_label
audacity/audacity,reviews,654164597,835,"indeed i’d suggest a different service for that than feeding google with even more data. i did not check whether they have libraries for local analysis, but [a link] and [a link] are great open-source analytic tools, which you can also self-host. more [a link]. also, for crashes there are ways you can just let the user send the report via mail (at least for android there are tools that can even collect these reports etc.)",1,0,1,0.5704132318496704,0.9020609259605408,0.532305896282196,1.0,accept,majority_agreement,2
audacity/audacity,reviews,655027290,835,"several issues with nih. also various code formatting/indentation issues. but by far the greatest issue is the various non-compliance issues with privacy laws and regulations. the used providers are nowhere to be found and even in builds without telemetry (local source builds) this leaves tons of code included, that simply bloats the application senselessly and even may create attack surface and security issues. while the pr claims this telemetry is anonymous, it's pseudonymous at best, and given the used providers are google and yandex, you can nearly be certain it will be personalized. this is especially true given the telemetry generates a unique client id, that is large enough to be unlikely to collide even if every human on earth used the tracking-poisoned version. best action forward is to scrap this pr, as this wont give you any useful information for your stated objectives. instead this creates unnecessary surveillance of the user of your software and thus limit the user's freedoms.",-1,0,-1,0.6166061162948608,0.7586191296577454,0.689858078956604,-1.0,accept,majority_agreement,2
audacity/audacity,reviews,655079811,835,"apart from what others have already said, the added tracking and, some interesting choices of variable names in conditions, it seems alright.",0,0,0,0.8929079174995422,0.9744137525558472,0.5081362724304199,0.0,accept,unanimous_agreement,2
audacity/audacity,reviews,722521377,1384,i've just quickly run through :) as an addition to other comments - there are some files without an empty line at the end of the file.,1,1,1,0.9502851366996764,0.9957828521728516,0.9938651919364928,1.0,accept,unanimous_agreement,2
audacity/audacity,reviews,727258285,1384,"also, quite a few files still miss new line in the end of file",0,0,0,0.964760720729828,0.979250431060791,0.9609293937683104,0.0,accept,unanimous_agreement,2
audacity/audacity,reviews,732733699,1384,what should be improved: * consistent use of `const` and `final` * i would preffer having *ptr instead of *holder * translatable strings should have hints for translators * error handling should be more consistent. important context information should not be lost * != instead of !(=) whenver possible * in most cases - it is advised to have separate h/cpp for a class. exceptions are ok to be groupped whith the class that throws it,0,0,0,0.9621272087097168,0.9874514937400818,0.9536099433898926,0.0,accept,unanimous_agreement,2
audacity/audacity,reviews,845176290,1384,doxygen comments for methods are not extracted to pages,0,0,0,0.9840033650398254,0.9855600595474244,0.9939945340156556,0.0,accept,unanimous_agreement,2
audacity/audacity,reviews,846719333,1384,cmake mistake,-1,-1,-1,0.7354121804237366,0.8004068732261658,0.9731112122535706,-1.0,accept,unanimous_agreement,2
audacity/audacity,reviews,846920930,1384,thread safety!,0,0,0,0.6924653649330139,0.4730855524539947,0.902253270149231,0.0,accept,unanimous_agreement,2
audacity/audacity,reviews,847204261,1384,thread safety and window lifetime problems,0,0,0,0.9153769612312316,0.9491260051727296,0.6113871335983276,0.0,accept,unanimous_agreement,2
audacity/audacity,reviews,1343733960,4414,error in projectfilemanager.cpp -- needlessly removing the setting of bandwidth selection format,-1,0,0,0.5516667366027832,0.96457177400589,0.983876407146454,0.0,accept,majority_agreement,2
audacity/audacity,reviews,1366857605,4414,odysseus has returned to ithaca.,0,0,0,0.956043303012848,0.9703904390335084,0.9531546235084534,0.0,accept,unanimous_agreement,2
audacity/audacity,reviews,880140271,2295,raii still not right,-1,-1,-1,0.562972903251648,0.5520415306091309,0.5683728456497192,-1.0,accept,unanimous_agreement,2
audacity/audacity,reviews,1805988865,5791,"good enough to move on to qa! i understand there will be other later issues to fix the undo problem, improve quality and performance, and add unit tests. i would prefer a bit of squashing before merge of course.",1,1,1,0.9594355821609496,0.9813069105148317,0.9884196519851683,1.0,accept,unanimous_agreement,2
audacity/audacity,reviews,1812213495,5791,-licameli i copied over the comments you wrote on the fork you made of this branch. i think this completes the migration of your review work. please let's continue the discussion here from now on.,0,0,0,0.910750150680542,0.8048236966133118,0.7543973922729492,0.0,accept,unanimous_agreement,2
audacity/audacity,reviews,1593909275,5043,please complete the fixes for exception safety.,0,0,0,0.9830998182296752,0.9826512932777404,0.992623805999756,0.0,accept,unanimous_agreement,2
audacity/audacity,reviews,1659494402,5043,regression in exception safety should be fixed,0,0,0,0.984606385231018,0.9832831621170044,0.9886151552200316,0.0,accept,unanimous_agreement,2
audacity/audacity,reviews,1578367653,4881,exception safety isn't right yet,0,0,0,0.9392993450164796,0.7678476572036743,0.9432799220085144,0.0,accept,unanimous_agreement,2
audacity/audacity,reviews,1032781392,3176,"see previous comment. ""something must be done"" so that output metering works. that isn't very specific of me, but i do have ideas about how to do it. i think it will require some major changes of approach, and abandonment of many of these proposed changes. i may develop a first commit that a revised branch can be based on. but the changes for track list events are so far an approved, necessary part of the fix.",0,0,0,0.9507251381874084,0.9466713070869446,0.973934531211853,0.0,accept,unanimous_agreement,2
audacity/audacity,reviews,1054733450,3176,avoid compilation dependency cycle,0,0,0,0.9677096009254456,0.9204635620117188,0.9877601265907288,0.0,accept,unanimous_agreement,2
audacity/audacity,reviews,1068119162,3176,unnecessary `#include`,0,0,0,0.959688663482666,0.976815938949585,0.9686959981918336,0.0,accept,unanimous_agreement,2
audacity/audacity,reviews,1071309143,3176,"approved, at last! today's comments include some suggestions about names and comments and a fix for tracklist events, but none of that should block this. i will open some other issues about possible further bug fixes.",0,0,1,0.8961673974990845,0.5959115624427795,0.9655961394309998,0.0,accept,majority_agreement,2
audacity/audacity,reviews,1072455470,3176,"formally re-approved now. just make one more behavior change, the minor fix for the reset message.",0,0,0,0.9838293194770812,0.9869027137756348,0.9912925362586976,0.0,accept,unanimous_agreement,2
audacity/audacity,reviews,1590553692,5041,one doubtful thing,0,-1,-1,0.7419079542160034,0.9630082845687866,0.5066108107566833,-1.0,accept,majority_agreement,2
audacity/audacity,reviews,1590564748,5041,preserve behavior in presence of exceptions thrown from db layer,0,0,0,0.9859543442726136,0.9914660453796388,0.9928991794586182,0.0,accept,unanimous_agreement,2
audacity/audacity,reviews,1591360486,5041,satisfy my doubt,0,0,0,0.939458191394806,0.8216045498847961,0.9027865529060364,0.0,accept,unanimous_agreement,2
