id,number,title,user,created_at,merged_at,comments,state,closed_at,codebert_sentiment_label,codebert_confidence
55577329,4996,[3.2] Vertical panels,brownsr,2016-01-10T23:12:30Z,2016-08-17T03:12:03Z,55,closed,2016-08-17T03:12:03Z,0,0.991585373878479
223873324,7944,New panel layout,clefebvre,2018-10-18T08:51:29Z,2018-11-03T11:38:13Z,11,closed,2018-11-03T11:38:13Z,0,0.9783895015716553
4263836,1737,Resubmission: Multi-Workspace Alt-Tab,autarkper,2013-02-21T22:12:33Z,,56,closed,2013-02-22T12:36:21Z,0,0.9874512553215027
3851504,1636,cinnamon-control-center module integration.,mtwebster,2013-01-26T04:00:44Z,2013-02-01T09:46:48Z,50,closed,2013-02-01T09:46:48Z,0,0.9944287538528442
5534359,1966,[2.2] [Settings][Calendar] Use a more intuitive way of settings date formats,dalcde,2013-05-05T05:38:43Z,,41,closed,2014-04-02T09:00:35Z,0,0.9913763403892517
139566328,6878,Refactor the extension system and add commonjs compatible module importation,jaszhix,2017-09-06T13:45:47Z,2018-01-18T10:34:49Z,18,closed,2018-01-18T10:34:49Z,0,0.9916853904724121
151067623,6993,Network applet: Port to libnm,lkundrak,2017-11-07T09:53:17Z,,39,closed,2018-04-24T12:21:19Z,0,0.9931374788284302
256796183,8428,[WIP] bumpmaps - rework and turn on,brownsr,2019-02-27T18:45:19Z,,16,closed,2023-06-01T15:55:52Z,0,0.9826743006706238
239019784,8150,cs_calendar.py Port the remaining date/time settings to python,collinss,2018-12-17T03:48:38Z,2019-11-22T20:46:29Z,5,closed,2019-11-22T20:46:29Z,0,0.9936041235923767
89385852,5798,[menu-applet] decodeUriComponent in app description,NikoKrause,2016-10-14T13:37:33Z,2016-10-25T10:04:36Z,34,closed,2016-10-25T10:04:36Z,0,0.9943138360977173
4178661,1717,"[Design] Enable multiple workspace rows (Real 2D workspace grid), add workspace-thumbnail zoom, and more",autarkper,2013-02-16T18:13:30Z,,30,closed,2014-06-24T10:18:14Z,0,0.9922693967819214
5269151,1888,Gnome 3.8 compatibility rollup,mtwebster,2013-04-19T20:50:04Z,,29,closed,2013-08-10T21:38:05Z,0,0.9917933344841003
70944857,5324,Xlet settings overhaul,collinss,2016-05-21T09:28:21Z,2016-08-11T03:17:02Z,29,closed,2016-08-11T03:17:02Z,0,0.9753555655479431
159331034,7149,Create new cinnamon-xlet-makepot utility for automattically extractin…,collinss,2017-12-20T04:53:10Z,2018-03-15T13:28:22Z,5,closed,2018-03-15T13:28:22Z,0,0.9906911253929138
286398651,8617,Make the libnm library optional,software-artificer,2019-06-08T11:42:39Z,2019-11-22T10:13:49Z,26,closed,2019-11-22T10:13:49Z,0,0.9910274147987366
167026675,7255,[WIP] Support for environment colors in themes,germanfr,2018-02-04T19:55:56Z,,25,closed,2018-12-03T07:12:21Z,0,0.9890357851982117
324945140,8884,Make volume step in applet follow the volume media keys value set.,deskwizard,2019-10-05T14:37:32Z,,25,closed,2019-11-14T21:37:22Z,0,0.9929479360580444
1688545,847,Refactoring of Menu applet,mtwebster,2012-06-30T00:36:47Z,2012-07-20T14:09:53Z,27,closed,2012-07-20T14:09:53Z,0,0.9897123575210571
88724859,5780,[menu-applet] rewritten keynavigation codeblock,NikoKrause,2016-10-10T20:23:19Z,2016-10-26T09:28:53Z,27,closed,2016-10-26T09:28:54Z,0,0.9936641454696655
139104643,6872,[WIP] Implement a front-end for the search providers,collinss,2017-09-04T08:20:48Z,,2,closed,2018-02-18T12:53:05Z,0,0.9918272495269775
223870201,7943,[WIP] Add a window list with app grouping,jaszhix,2018-10-18T08:40:49Z,,2,closed,2018-10-18T08:51:29Z,0,0.9914462566375732
539032480,9771,[wip] menu applet: Make the menu resizeable.,mtwebster,2020-12-13T22:23:45Z,,27,closed,2022-06-09T16:19:35Z,0,0.9926103949546814
21994877,3553,[WIP] Added flickr support for slideshow,ondrejkolin,2014-09-30T10:34:48Z,,19,closed,2016-03-04T16:20:37Z,0,0.9881880879402161
4048438,1679,[WIP]  Applet settings,mtwebster,2013-02-08T00:42:44Z,2013-03-07T11:28:59Z,25,closed,2013-03-07T11:28:59Z,0,0.989001989364624
4780475,1814,More intuitive/visual hot corner configuration.,Lusito,2013-03-24T01:10:45Z,2013-04-12T22:13:57Z,24,closed,2013-04-12T22:13:57Z,0,0.8669914603233337
1728219,877,Added panel right click menu,dalcde,2012-07-06T00:58:35Z,,24,closed,2012-07-14T08:41:09Z,0,0.9911702871322632
3635679,1598,[Alt-Tab] Show windows from all workspaces,autarkper,2013-01-11T08:52:13Z,,24,closed,2013-02-04T19:30:31Z,0,0.991107165813446
1444902904,11770,fix: Resizing Applet PopupMenus will go behind panel if panel is set to auto hide,Gr3q,2023-07-21T19:07:30Z,,24,closed,2023-09-03T02:46:57Z,0,0.9808425903320312
10286258,2662,[2.2] Add track name and album art to panel,Psykar,2013-11-26T03:34:33Z,2014-04-09T10:26:29Z,21,closed,2014-04-09T10:26:29Z,0,0.9922189712524414
4660635,1803,Cinnamon keybinding manager (using muffin),mtwebster,2013-03-18T00:19:55Z,2013-04-17T12:56:03Z,22,closed,2013-04-17T12:56:03Z,0,0.9899798631668091
94012234,5974,[3.4] window-list: Rearrange popup menu items,germanfr,2016-11-16T17:28:14Z,,22,closed,2017-02-09T10:03:20Z,0,0.9935111403465271
198782358,7685,[WIP] Allow custom widgets in xlet settings,collinss,2018-07-02T20:33:08Z,,1,closed,2018-11-03T07:32:43Z,0,0.9924705028533936
241884997,8251,fix regression #8070 (menu search results),Curly060,2019-01-03T00:58:10Z,,9,closed,2019-06-28T14:35:48Z,0,0.9905300736427307
750114181,10372,Adapt Cinnamon to Mutter 3.36.9 rebase,clefebvre,2021-10-05T17:49:24Z,2022-06-09T00:34:10Z,22,closed,2022-06-09T00:34:10Z,0,0.9927812218666077
4643882,1800,[WIP] Breadcrumbs for cinnamon-settings,Lusito,2013-03-15T18:11:19Z,,20,closed,2013-04-10T13:33:40Z,0,0.9453179836273193
117867329,6486,main.js: improve logging of GLib.Errors and objects ,itzexor,2017-04-27T06:23:47Z,2017-05-04T14:25:58Z,19,closed,2017-05-04T14:25:58Z,0,0.9872044324874878
176054357,7376,sound@cinnamon.org applet - Solves issue #7375,claudiux,2018-03-19T23:42:23Z,2018-04-20T15:29:18Z,14,closed,2018-04-20T15:29:18Z,0,0.9771506786346436
183105193,7486,Unified network change PRs with additional debian/ fix,Fantu,2018-04-20T16:00:52Z,,11,closed,2018-05-07T10:42:35Z,0,0.9932073950767517
220902464,7916,Improve workspace switching performance,jaszhix,2018-10-06T18:14:05Z,,20,closed,2018-11-03T15:44:23Z,0,0.9887583255767822
321490666,8873,option to restart without user extensions,norbusan,2019-09-26T00:41:05Z,2019-10-28T10:37:07Z,12,closed,2019-10-28T10:37:07Z,0,0.9856319427490234
1086799848,11228,"Add ""Notifications disabled"" icon clue to Inhibit Applet",BrunoNZ,2022-10-14T00:57:03Z,,19,closed,2024-04-05T14:45:33Z,0,0.9926249384880066
1679553,843,Notifications applet to tie in to the Message tray.,mtwebster,2012-06-29T01:15:55Z,2012-07-17T12:52:08Z,18,closed,2012-07-17T12:52:08Z,0,0.9915111660957336
38134838,4338,WIP · 2.8 · Automatically reload xlets when updating,pixunil,2015-06-19T18:31:25Z,,19,closed,2015-08-21T10:08:53Z,0,0.9811171889305115
91112825,5859,[menu-applet & panel-launchers] added new mouse cursors while draggin…,NikoKrause,2016-10-27T00:17:02Z,2017-05-04T14:32:23Z,19,closed,2017-05-04T14:32:23Z,0,0.9895666837692261
1980329,1003,"Refactor Panel, Layout, Expo and Scale to handle various panel configurations",autarkper,2012-08-06T11:42:57Z,,18,closed,2012-09-05T15:54:49Z,0,0.9908795356750488
3378400,1504,Panel rework with the aim of supporting more panel layouts,autarkper,2012-12-14T20:50:32Z,,18,closed,2013-01-09T07:09:07Z,0,0.9904746413230896
172741421,7325,Fix bad allocation of panels with borders,germanfr,2018-03-04T21:09:46Z,2018-03-16T10:04:08Z,18,closed,2018-03-16T10:04:08Z,-1,0.5005727410316467
1350082877,11665,Make menu applet resizable with mouse,fredcw,2023-05-15T04:18:41Z,,18,closed,2023-06-06T17:19:23Z,0,0.9881384968757629
2275002,1086,"[1.6?] Refactor Panel, Layout, Expo and Scale to handle various panel configurations, second attempt",autarkper,2012-09-07T09:06:11Z,2012-09-09T10:28:55Z,17,closed,2012-09-09T10:28:55Z,0,0.9918859004974365
1745401,892,ALT-Tab enhancement: outline and live preview of selected window,autarkper,2012-07-09T12:31:29Z,2012-07-17T10:38:51Z,17,closed,2012-07-17T10:38:51Z,0,0.9875364899635315
