id,pr_number,user,created_at,body,deberta_sentiment_label,deberta_confidence
627440957,835,Paul-Licameli,2021-05-06T13:52:48Z,"is the effect of this line to let any one of these libraries access the header files of any other one of the libraries? i see inclusions like: #include ""lib-string-utils/urlencode.h"" therefore lib-telemetry depends on lib-string-utils. you can also see that from its cmakelists.txt where it uses target_link_libraries. but what i'm hoping to do with the libraries i'm developing is avoid #include directives with more than one path component. and i think target_link_libraries will let you do just that -- shorten the #include path, so long as the library dependent on (here lib-string-utils) does not use private in target_sources. see my commit 45ff9419864c079cbd6f51cdd5e11f58ec882c30.",0,0.9851447343826294
627445357,835,crsib,2021-05-06T13:57:50Z,"this could be done in a different way, as well as the `*libname*api.h` i can change it if you want, no problem :hundred_points:",1,0.9822587966918945
627506072,835,Paul-Licameli,2021-05-06T15:05:50Z,you took the ctor out-of-line to avoid a nested header file. good!,1,0.9724074602127075
627506600,835,Paul-Licameli,2021-05-06T15:06:27Z,you figured out translatablestring::debug(). good!,1,0.9843758940696716
627510621,835,Paul-Licameli,2021-05-06T15:11:06Z,we aren't distinguishing a really failed import from the user cancelling it in the progress indicator. maybe that does not matter.,0,0.9643914699554443
627515066,835,Paul-Licameli,2021-05-06T15:16:26Z,q: how do you know this string is un-internationalized (to be consistent with other uses of reportbuiltinevent)? a: because of how we use type distinctions for strings!,0,0.9918448328971863
627535303,835,Paul-Licameli,2021-05-06T15:40:29Z,"what event to you think you are reporting? i think the effect is not necessarily ""selected"" interactively if we come to this line. it might be part of a macro invocation. i know people often master their tracks with macros. maybe that distinction does not matter, but comment at least what you really mean.",0,0.9860373139381409
627537546,835,Paul-Licameli,2021-05-06T15:43:22Z,"why is the opening of this one non-modal dialog important to report, but not the others (mixer board, karaoke, macro editor, contrast, history window)? just asking.",0,0.9672713875770569
627543880,835,Paul-Licameli,2021-05-06T15:50:24Z,i'd like this table and the enum definition to refer to each other in comments,0,0.9748952388763428
627626167,835,Paul-Licameli,2021-05-06T17:26:24Z,can i start another review? yes i can. this is just a test of github. and it seems you found a bug in a 3pl to fix with a null check. did it crash for you in testing?,0,0.9573037624359131
627756976,835,Be-ing,2021-05-06T20:52:38Z,this is too vague. tell users what is being collected and why.,0,0.5384990572929382
