id,number,title,state,merged_at,distilbert_sentiment_label,codebert_sentiment_label,deberta_sentiment_label,distilbert_confidence,codebert_confidence,deberta_confidence,majority_label,final_decision,decision_reason
785420846,15769,Implement new icon/color theme,closed,2022-06-28T20:23:26Z,0,0,0,0.9868983030319214,0.991576611995697,0.9915302991867064,0,accept,unanimous_agreement
147230642,7610,Redesign Web API,closed,2018-02-16T07:09:36Z,0,0,0,0.9819387197494508,0.9816083312034608,0.9929732084274292,0,accept,unanimous_agreement
412652072,12746,CMake scripts overhaul,closed,,0,0,0,0.9853480458259584,0.9584367871284484,0.990565836429596,0,accept,unanimous_agreement
48682165,3989,Implement search filters. Partially closes #972,closed,2016-04-05T22:17:27Z,0,0,0,0.9886549711227416,0.9925145506858826,0.9930629134178162,0,accept,unanimous_agreement
174278131,8584,WebUI search API. Closes #2495,closed,2018-10-24T10:13:16Z,0,0,0,0.9859763383865356,0.9884911775588988,0.9923273921012878,0,accept,unanimous_agreement
124086350,6911,Add a Tags system to the GUI to expand torrent organization / filtering options. Closes #13.,closed,2017-06-26T12:57:28Z,0,0,0,0.9871442914009094,0.9932712912559508,0.9952422380447388,0,accept,unanimous_agreement
120464200,6779,Add ip subnet whitelist for bypassing webui auth,closed,2017-11-20T18:52:34Z,0,0,0,0.9887740612030028,0.9901093244552612,0.9948975443840028,0,accept,unanimous_agreement
117785425,6698,Color and font themes,closed,,0,0,0,0.9731467962265016,0.976187527179718,0.9853482842445374,0,accept,unanimous_agreement
385279999,12144,Convert the Log widget to use custom View/Model,closed,,0,0,0,0.9877413511276244,0.9929186701774596,0.9941562414169312,0,accept,unanimous_agreement
282127941,10702,Allow Styling through QSS,closed,2019-07-10T11:32:20Z,0,0,0,0.9871898293495178,0.9890642762184144,0.9929116368293762,0,accept,unanimous_agreement
62339715,4936,Improve tooltips for torrent progress bar,closed,2016-06-02T14:54:12Z,0,0,0,0.9791991114616394,0.9789816737174988,0.95359605550766,0,accept,unanimous_agreement
812735912,15915,Implement class for handling filesystem paths,closed,2022-02-08T03:03:49Z,0,0,0,0.9873374104499816,0.9893875122070312,0.9934402108192444,0,accept,unanimous_agreement
91489711,5877,locally banned IP list managment (Closes #1837 ),closed,2017-03-07T21:14:21Z,0,0,0,0.9714313745498656,0.9843577146530152,0.824165940284729,0,accept,unanimous_agreement
68764500,5214,Implement configurations and portable mode. Closes #465,closed,2017-04-11T23:20:35Z,0,0,0,0.9880869388580322,0.9925107955932616,0.994905948638916,0,accept,unanimous_agreement
77642993,5532,Command line arguments for specifying options when adding torrents,closed,2017-04-30T19:25:22Z,0,0,0,0.9884284138679504,0.9908032417297364,0.9931575655937196,0,accept,unanimous_agreement
115583437,6627,Redesign RSS subsystem,closed,2017-04-23T06:17:40Z,0,0,0,0.9847714304924012,0.9803985953330994,0.9916912317276,0,accept,unanimous_agreement
68203040,5196,Revamp Torrent creator,closed,2017-05-24T09:40:10Z,0,0,0,0.9863118529319764,0.9825777411460876,0.9887619614601136,0,accept,unanimous_agreement
70978143,5287,Implement Smart Filter,closed,2018-02-16T10:43:39Z,0,0,0,0.9795035123825072,0.9855625629425048,0.9914018511772156,0,accept,unanimous_agreement
529821648,13885,Rework global speed limit dialog and introduce torrent options dialog,closed,2020-12-28T03:34:39Z,0,0,0,0.9849661588668824,0.9922743439674376,0.9922974705696106,0,accept,unanimous_agreement
903146309,16840,Improve startup,closed,2022-07-04T09:48:21Z,0,0,0,0.9595608711242676,0.96314138174057,0.8446325063705444,0,accept,unanimous_agreement
57017306,4681,Log improvements,closed,,0,0,0,0.9795125126838684,0.91849684715271,0.9576648473739624,0,accept,unanimous_agreement
71648351,5310,Fix emule dat parsing,closed,,0,0,0,0.987855851650238,0.9620339274406432,0.9940189123153688,0,accept,unanimous_agreement
359376750,11833,Use license key for downloading GeoIP db,closed,,0,0,0,0.9883760213851928,0.9915239810943604,0.9928981065750122,0,accept,unanimous_agreement
272497993,10527,Implement tag management for WebUI,closed,2019-07-24T14:07:31Z,0,0,0,0.986315667629242,0.9875763654708862,0.9920942187309264,0,accept,unanimous_agreement
45310949,3810,Improve desktop notifications,closed,,0,0,0,0.9765042662620544,0.9320936799049376,0.985358476638794,0,accept,unanimous_agreement
401260235,12458,Convert the Log widget to use custom View/Model,closed,2020-04-17T03:27:36Z,0,0,0,0.9877413511276244,0.9929186701774596,0.9941562414169312,0,accept,unanimous_agreement
