id,pr_number,user,created_at,body,distilbert_sentiment_label,distilbert_confidence
1797336629,634,Protonull,2024-10-11T19:12:19Z,`setmin_y` ?,0,0.9873605370521545
1797337666,634,drekamor,2024-10-11T19:13:32Z,what's wrong?,-1,0.8307653069496155
1797338030,634,Protonull,2024-10-11T19:14:02Z,"if this class will only be used by the buildlimits hack, it could be made an inner-class of the hack. that's just a personal preference though.",0,0.9849976301193237
1797338822,634,drekamor,2024-10-11T19:15:01Z,soundtech ok'ed this so :man_shrugging:,-1,0.6029884815216064
1797340312,634,Protonull,2024-10-11T19:16:55Z,just seems like an odd naming convention to have both camel and snake case. it's typical for getters in java to use camel casing (eg: `setminy`) or otherwise to have the field public if you want to retain the name.,-1,0.7183979749679565
1797343662,634,drekamor,2024-10-11T19:20:43Z,"oh, i used `y_min` in the config so it just got carried over to the var names. now that i look at it, it does feel a bit weird",-1,0.955893874168396
1797344436,634,Protonull,2024-10-11T19:21:45Z,okay :+1:,0,0.7454250454902649
1797406899,634,awoo-civ,2024-10-11T20:42:10Z,"yeah `setminy` is correct, you never wanna make exceptions to name casing.",0,0.9842968583106995
1797408353,634,awoo-civ,2024-10-11T20:44:13Z,nit: remove this empty line,0,0.9806146025657654
1797409963,634,awoo-civ,2024-10-11T20:46:29Z,nit: remove this empty line,0,0.9806146025657654
1797410325,634,awoo-civ,2024-10-11T20:47:01Z,nit: remove this empty line,0,0.9806146025657654
1797410848,634,awoo-civ,2024-10-11T20:47:46Z,move the declaration of `player` to right above this line or just use `e.getplayer()` directly.,0,0.9880075454711914
1797414896,634,awoo-civ,2024-10-11T20:53:44Z,`type` should ideally be an enum instead of a string.,0,0.9865836501121521
1797418542,634,awoo-civ,2024-10-11T20:58:48Z,"public static buildlimit deserialize( map args) { int miny = 0; int maxy = 0; string type = ""altitude""; type = (string)args.get(""type""); if (type.equals(""altitude"")) { if (args.containskey(""min_y"")) { miny = (integer)args.get(""min_y""); } if (args.containskey(""max_y"")) { maxy = (integer)args.get(""max_y""); } } string world = ""world""; world = (string)args.get(""world""); return new buildlimit(world, type, miny, maxy); }",0,0.9828004837036133
1798527270,634,okx-code,2024-10-13T19:43:54Z,there doesn't seem to be a `type` other than altitude. is this necessary?,0,0.9828431010246277
1798529063,634,okx-code,2024-10-13T19:47:05Z,hack configs already store if they are enabled (shouldenable). the handling here is not really necessary.,0,0.923241376876831
1798529984,634,okx-code,2024-10-13T19:48:33Z,"you don't need to log if a hack is enabled or disabled, that's done already.",0,0.986983060836792
1798530257,634,okx-code,2024-10-13T19:48:58Z,why linkedhashmap here? is insertion order important?,0,0.9848266839981079
1798530665,634,okx-code,2024-10-13T19:49:41Z,are the setters necessary?,0,0.9862824082374573
1798530877,634,okx-code,2024-10-13T19:50:00Z,unnecessary,0,0.6610735654830933
1798530899,634,okx-code,2024-10-13T19:50:02Z,unnecessary,0,0.6610735654830933
1798531248,634,okx-code,2024-10-13T19:50:41Z,"`component.text(string, textcolor)` could be used to make this more succint, but you don't have to do it that way",0,0.9756143093109131
1798531899,634,Protonull,2024-10-13T19:51:47Z,"instead of try-catching an assignment, you could use an iterator to check that each element is an instance of `buildlimit`, which then lets you print nice warnings for each offending entry.",0,0.9841235280036926
1798533014,634,Protonull,2024-10-13T19:53:45Z,this one actually is necessary: it's only basichack that registers itself as a listener upon `onenable`,0,0.9862146973609924
1798533714,634,okx-code,2024-10-13T19:54:56Z,goddamnit i hate hacks,-1,0.9886929392814636
1798534056,634,Protonull,2024-10-13T19:55:32Z,"needs an `ondisable` override here to remove this listener, then the `if(!config.isenabled()) return;` checks are not necessary since the event will only ever be called when the hack is enabled, because the listeners will only ever be registered upon hack enable.",0,0.981336772441864
1798548319,634,okx-code,2024-10-13T20:20:00Z,why?,0,0.6633803844451904
1798548604,634,drekamor,2024-10-13T20:20:30Z,soundtech asked to add `type` because he wants to add others (e.g radius limit) in the future,0,0.9881646633148193
1798558431,634,drekamor,2024-10-13T20:37:18Z,making it an enum would mean adding yet another useless for anything else class. can't make it a subclass because it needs to be accessed from different packages.,0,0.7408406138420105
1798560699,634,Protonull,2024-10-13T20:41:04Z,is a type really necessary? just have a sealed interface and then [a link] it.,0,0.988923192024231
1798724440,634,awoo-civ,2024-10-14T04:03:36Z,"i do not understand the concern with adding another class, even if it was necessary which i don't think it is? would defining a public enum in an already existing class not work just fine? in any case, using a string is quite bad form as: 1. it can be anything - easy for bugs to sneak in 2. finding out what it can be is near impossible enums fix these issues. btw, i recently did this exact refactoring: [a link]",-1,0.9222863912582397
1798783027,634,Protonull,2024-10-14T05:54:37Z,"use [a link], which is what basichack uses.",0,0.9879713654518127
