id,number,title,state,merged_at,distilbert_sentiment_label,codebert_sentiment_label,deberta_sentiment_label,distilbert_confidence,codebert_confidence,deberta_confidence,majority_label,final_decision,decision_reason
1187405250,11695,Replace cluster metadata with slot specific dictionaries,closed,2023-10-15T06:58:26Z,0,0,0,0.9870549440383912,0.993034601211548,0.9940954446792604,0,accept,unanimous_agreement
781687008,9788,Implement Multi Part AOF mechanism to avoid AOFRW overheads.,closed,2022-01-03T17:14:14Z,0,0,0,0.9846161007881165,0.9918726086616516,0.9915986061096193,0,accept,unanimous_agreement
1000636511,11012,reprocess command when client is unblocked on keys,closed,2023-01-01T21:35:42Z,0,0,0,0.9864335060119628,0.9819822311401368,0.9943714737892152,0,accept,unanimous_agreement
708741066,9357,Add support for list type to store elements larger than 4GB,closed,2021-11-03T18:47:18Z,0,0,0,0.986198663711548,0.9937219023704528,0.9895591735839844,0,accept,unanimous_agreement
848083774,10285,Module Configurations,closed,2022-03-30T12:47:07Z,0,0,0,0.9835776090621948,0.9859161972999572,0.9918555021286012,0,accept,unanimous_agreement
1330220420,12109,Rdb channel for full sync,closed,,0,0,0,0.986903190612793,0.9779552817344666,0.986677885055542,0,accept,unanimous_agreement
704812552,9323,Replica keep serving data during repl-diskless-load=swapdb for better availability,closed,2021-11-04T08:46:50Z,0,0,0,0.986053228378296,0.9884893298149108,0.9934113621711732,0,accept,unanimous_agreement
679711720,9166,Replication backlog and replicas use one global shared replication buffer,closed,2021-10-25T06:24:32Z,0,0,0,0.9886192083358764,0.9901362061500548,0.990959644317627,0,accept,unanimous_agreement
898547197,10517,Improve slot migration reliability,closed,,0,0,0,0.9635684490203856,0.9905044436454772,0.9871570467948914,0,accept,unanimous_agreement
1783132907,13157,Change license from BSD-3 to dual RSALv2+SSPLv1,closed,2024-03-20T22:38:24Z,0,0,0,0.9880349040031432,0.9942978024482728,0.991156816482544,0,accept,unanimous_agreement
704635272,9320,Fully abstract connection and make TLS dynamically loadable,closed,2022-08-24T05:35:47Z,0,0,0,0.9855955839157104,0.9919336438179016,0.9940154552459716,0,accept,unanimous_agreement
800629388,9934,Reduce system calls of write for client->reply by introducing writev,closed,2022-02-22T12:00:37Z,0,0,0,0.9866636991500854,0.9904690384864808,0.9914570450782776,0,accept,unanimous_agreement
684106783,9202,Unified Lua and modules reply parsing and added resp3 support to RM_Call,closed,2021-08-04T13:28:07Z,0,0,0,0.9856370091438292,0.9918217062950134,0.989412248134613,0,accept,unanimous_agreement
807240324,9974,ACL V2 - Selectors and key based permissions,closed,2022-01-20T21:05:27Z,0,0,0,0.9884912967681884,0.9924876689910888,0.9921172261238098,0,accept,unanimous_agreement
844152705,10273,Add reply_schema to command json files (internal for now),closed,2023-03-11T08:14:16Z,0,0,0,0.989207923412323,0.9929705262184144,0.995428204536438,0,accept,unanimous_agreement
717501951,9406,Add a special notification unlink available only for modules,closed,2022-11-30T09:56:36Z,0,0,0,0.9880073070526124,0.99369215965271,0.9951480031013488,0,accept,unanimous_agreement
727491105,9462,Added INFO LATENCYSTATS section: latency by percentile distribution/latency by cumulative distribution of latencies,closed,2022-01-05T12:01:05Z,0,0,0,0.9821292161941528,0.9891989827156068,0.984776735305786,0,accept,unanimous_agreement
734424022,9504,Treat subcommands as commands,closed,2021-10-20T08:52:57Z,0,0,0,0.986247181892395,0.9781729578971864,0.992677927017212,0,accept,unanimous_agreement
626211325,8887,Replace all usage of ziplist with listpack for t_hash,closed,2021-08-10T06:18:49Z,0,0,0,0.9856977462768556,0.993626832962036,0.994186520576477,0,accept,unanimous_agreement
1063828813,11303,Add listpack encoding for list,closed,2022-11-16T18:29:46Z,0,0,0,0.9883509874343872,0.9918089509010316,0.9933534860610962,0,accept,unanimous_agreement
