id,pr_number,user,created_at,body,is_bot_generated,is_bot_trigger,is_build_results_link,is_bot_mention,is_k8s_test_command,is_specific_command,is_bot_related
297871665,2929,asfbot,2017-04-28T00:02:24Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk8-scala2.12/3240/
Test FAILed (JDK 8 and Scala 2.12).
",True,False,False,False,False,False,True
297872143,2929,asfbot,2017-04-28T00:05:59Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk8-scala2.11/3249/
Test PASSed (JDK 8 and Scala 2.11).
",True,False,False,False,False,False,True
297872198,2929,asfbot,2017-04-28T00:06:17Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk7-scala2.10/3244/
Test PASSed (JDK 7 and Scala 2.10).
",True,False,False,False,False,False,True
297915554,2929,asfbot,2017-04-28T06:08:32Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk7-scala2.10/3259/
Test PASSed (JDK 7 and Scala 2.10).
",True,False,False,False,False,False,True
297915927,2929,asfbot,2017-04-28T06:11:23Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk8-scala2.11/3264/
Test PASSed (JDK 8 and Scala 2.11).
",True,False,False,False,False,False,True
297917836,2929,asfbot,2017-04-28T06:25:28Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk8-scala2.12/3255/
Test PASSed (JDK 8 and Scala 2.12).
",True,False,False,False,False,False,True
298066652,2929,asfbot,2017-04-28T18:02:56Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk8-scala2.11/3287/
Test PASSed (JDK 8 and Scala 2.11).
",True,False,False,False,False,False,True
298067201,2929,asfbot,2017-04-28T18:05:15Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk7-scala2.10/3282/
Test PASSed (JDK 7 and Scala 2.10).
",True,False,False,False,False,False,True
298070725,2929,asfbot,2017-04-28T18:20:16Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk8-scala2.12/3278/
Test PASSed (JDK 8 and Scala 2.12).
",True,False,False,False,False,False,True
298088455,2929,asfbot,2017-04-28T19:38:06Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk7-scala2.10/3283/
Test FAILed (JDK 7 and Scala 2.10).
",True,False,False,False,False,False,True
298088919,2929,asfbot,2017-04-28T19:40:13Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk8-scala2.11/3288/
Test PASSed (JDK 8 and Scala 2.11).
",True,False,False,False,False,False,True
298096134,2929,asfbot,2017-04-28T20:15:20Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk8-scala2.12/3279/
Test PASSed (JDK 8 and Scala 2.12).
",True,False,False,False,False,False,True
306576951,2929,asfbot,2017-06-06T18:32:13Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk8-scala2.12/4956/
Test PASSed (JDK 8 and Scala 2.12).
",True,False,False,False,False,False,True
306579030,2929,asfbot,2017-06-06T18:39:54Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk7-scala2.11/4972/
Test PASSed (JDK 7 and Scala 2.11).
",True,False,False,False,False,False,True
306992238,2929,asfbot,2017-06-08T04:03:06Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk8-scala2.12/5043/
Test FAILed (JDK 8 and Scala 2.12).
",True,False,False,False,False,False,True
306992430,2929,asfbot,2017-06-08T04:04:42Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk7-scala2.11/5059/
Test FAILed (JDK 7 and Scala 2.11).
",True,False,False,False,False,False,True
306997336,2929,asfbot,2017-06-08T04:49:09Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk8-scala2.12/5045/
Test FAILed (JDK 8 and Scala 2.12).
",True,False,False,False,False,False,True
306997776,2929,asfbot,2017-06-08T04:52:43Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk7-scala2.11/5061/
Test FAILed (JDK 7 and Scala 2.11).
",True,False,False,False,False,False,True
307008569,2929,asfbot,2017-06-08T06:11:32Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk7-scala2.11/5063/
Test PASSed (JDK 7 and Scala 2.11).
",True,False,False,False,False,False,True
307008587,2929,asfbot,2017-06-08T06:11:39Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk8-scala2.12/5047/
Test PASSed (JDK 8 and Scala 2.12).
",True,False,False,False,False,False,True
307721593,2929,asfbot,2017-06-12T08:21:14Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk8-scala2.12/5146/
Test PASSed (JDK 8 and Scala 2.12).
",True,False,False,False,False,False,True
307723211,2929,asfbot,2017-06-12T08:28:59Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk7-scala2.11/5162/
Test FAILed (JDK 7 and Scala 2.11).
",True,False,False,False,False,False,True
307735488,2929,asfbot,2017-06-12T09:20:55Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk8-scala2.12/5148/
Test FAILed (JDK 8 and Scala 2.12).
",True,False,False,False,False,False,True
307752604,2929,asfbot,2017-06-12T10:35:03Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk8-scala2.12/5150/
Test PASSed (JDK 8 and Scala 2.12).
",True,False,False,False,False,False,True
307758355,2929,asfbot,2017-06-12T11:02:59Z,"
Refer to this link for build results (access rights to CI server needed): 
https://builds.apache.org/job/kafka-pr-jdk7-scala2.11/5166/
Test PASSed (JDK 7 and Scala 2.11).
",True,False,False,False,False,False,True
