repository,file_type,id,number,title,state,merged_at,distilbert_sentiment_label,codebert_sentiment_label,deberta_sentiment_label,distilbert_confidence,codebert_confidence,deberta_confidence,majority_label,final_decision,decision_reason,manual_label
linuxmint/cinnamon,pull_requests,55577329,4996,[3.2] Vertical panels,closed,2016-08-17T03:12:03Z,0,0,0,0.969225287437439,0.991585373878479,0.9907168745994568,0,accept,unanimous_agreement,2
linuxmint/cinnamon,pull_requests,223873324,7944,New panel layout,closed,2018-11-03T11:38:13Z,0,0,0,0.9694902300834656,0.9783895015716552,0.983547866344452,0,accept,unanimous_agreement,2
linuxmint/cinnamon,pull_requests,4263836,1737,Resubmission: Multi-Workspace Alt-Tab,closed,,0,0,0,0.9879211187362672,0.9874512553215028,0.9922073483467102,0,accept,unanimous_agreement,2
linuxmint/cinnamon,pull_requests,3851504,1636,cinnamon-control-center module integration.,closed,2013-02-01T09:46:48Z,0,0,0,0.9864150881767272,0.9944287538528442,0.9931634664535522,0,accept,unanimous_agreement,2
linuxmint/cinnamon,pull_requests,5534359,1966,[2.2] [Settings][Calendar] Use a more intuitive way of settings date formats,closed,,0,0,0,0.9830126166343688,0.9913763403892516,0.9929710030555724,0,accept,unanimous_agreement,2
linuxmint/cinnamon,pull_requests,139566328,6878,Refactor the extension system and add commonjs compatible module importation,closed,2018-01-18T10:34:49Z,0,0,0,0.9887927174568176,0.991685390472412,0.9940699338912964,0,accept,unanimous_agreement,2
linuxmint/cinnamon,pull_requests,151067623,6993,Network applet: Port to libnm,closed,,0,0,0,0.987902581691742,0.9931374788284302,0.993656575679779,0,accept,unanimous_agreement,2
linuxmint/cinnamon,pull_requests,256796183,8428,[WIP] bumpmaps - rework and turn on,closed,,0,0,0,0.9813360571861268,0.9826743006706238,0.9947991371154784,0,accept,unanimous_agreement,2
linuxmint/cinnamon,pull_requests,239019784,8150,cs_calendar.py Port the remaining date/time settings to python,closed,2019-11-22T20:46:29Z,0,0,0,0.9878928065299988,0.9936041235923768,0.98997962474823,0,accept,unanimous_agreement,2
linuxmint/cinnamon,pull_requests,89385852,5798,[menu-applet] decodeUriComponent in app description,closed,2016-10-25T10:04:36Z,0,0,0,0.9897074699401855,0.9943138360977172,0.9937196969985962,0,accept,unanimous_agreement,2
linuxmint/cinnamon,pull_requests,4178661,1717,"[Design] Enable multiple workspace rows (Real 2D workspace grid), add workspace-thumbnail zoom, and more",closed,,0,0,0,0.9838517308235168,0.9922693967819214,0.9905409216880798,0,accept,unanimous_agreement,2
linuxmint/cinnamon,pull_requests,5269151,1888,Gnome 3.8 compatibility rollup,closed,,0,0,0,0.9797592759132384,0.9917933344841005,0.9853320717811584,0,accept,unanimous_agreement,2
linuxmint/cinnamon,pull_requests,70944857,5324,Xlet settings overhaul,closed,2016-08-11T03:17:02Z,0,0,0,0.9861660003662108,0.9753555655479432,0.9891307353973388,0,accept,unanimous_agreement,2
linuxmint/cinnamon,pull_requests,159331034,7149,Create new cinnamon-xlet-makepot utility for automattically extractin…,closed,2018-03-15T13:28:22Z,0,0,0,0.9873077273368835,0.9906911253929138,0.9938887357711792,0,accept,unanimous_agreement,2
linuxmint/cinnamon,pull_requests,286398651,8617,Make the libnm library optional,closed,2019-11-22T10:13:49Z,0,0,0,0.9886478781700134,0.9910274147987366,0.9943217039108276,0,accept,unanimous_agreement,2
linuxmint/cinnamon,pull_requests,167026675,7255,[WIP] Support for environment colors in themes,closed,,0,0,0,0.979738473892212,0.9890357851982116,0.9797191619873048,0,accept,unanimous_agreement,2
linuxmint/cinnamon,pull_requests,324945140,8884,Make volume step in applet follow the volume media keys value set.,closed,,0,0,0,0.988398015499115,0.9929479360580444,0.9954185485839844,0,accept,unanimous_agreement,2
